"Plate Number/Position Number",Prestw number,Chemical name,Structure,Broad Therapeutic class,Reported therapeutic effect,Inhibition Index
19H04,Prestw-1940,Acetyl spiramycin,,Infectiology,Antibacterial,1.276012911
11F03,Prestw-1454,Nylidrin,,Cardiovascular,Vasodilator,1.263071199
18B09,Prestw-1951,Eperisone HCl,,Neuromuscular,Muscle relaxant 'Antispastic,1.254272398
07B04,Prestw-493,Omeprazole,,Gastroenterology,Antiulcer,1.248735302
14C05,Prestw-1064,Meprylcaine hydrochloride,,Neuromuscular,Local anesthetic,1.229881984
19A03,Prestw-2045,Eletriptan,,Central Nervous System,Antimigraine,1.227289505
15B10,Prestw-1308,Phentermine hydrochloride,,Central Nervous System,Anti-obesity,1.218937479
14F05,Prestw-1094,Sulfadoxine,,Infectiology,Antibacterial,1.198515582
01F08,Prestw-57,Benoxinate hydrochloride,,Neuromuscular,Local anesthetic,1.192883119
13G07,Prestw-1829,Levofloxacin,,Infectiology,Antibacterial,1.186482411
15D10,Prestw-1224,Anthralin,,Dermatology,Antipsoriatic,1.183656276
15D07,Prestw-1401,Enoxacin,,Infectiology,Antibacterial,1.18243088
15A02,Prestw-1283,Buspirone hydrochloride,,Central Nervous System,Anxiolytic,1.175538026
16E09,Prestw-1841,Dolutegravir,,Infectiology,Antiviral,1.174140685
17E06,Prestw-1877,Tolperisone hydrochloride,,Central Nervous System,Muscle relaxant,1.171747069
19F05,Prestw-2019,Vonoprazan,,Gastroenterology,Antiulcer,1.171120937
15E10,Prestw-1199,Tripelennamine hydrochloride,,Allergology,Antihistaminic,1.170330091
15C07,Prestw-1258,Candesartan,,Cardiovascular,Antihypertensive,1.165683797
16G04,Prestw-1744,Tolterodine tartrate,,Neuromuscular,Muscle relaxant,1.165444004
14F08,Prestw-1097,(-) Isoproterenol hydrochloride,,Cardiovascular 'Respiratory,Bronchodilator 'Vasodilator,1.163332104
19D11,Prestw-2067,Cyclofenil,,Endocrinology,anti-estrogen,1.162026529
12E07,Prestw-926,Idazoxan hydrochloride,,Central Nervous System,Antiparkinsonian 'Antipsychotic,1.161905778
09F04,Prestw-693,Promazine hydrochloride,,Central Nervous System,Antipsychotic,1.160981227
04H02,Prestw-311,Ifenprodil tartrate,,Cardiovascular,Vasodilator,1.159229615
11E02,Prestw-1455,Olanzapine,,Central Nervous System,Antipsychotic,1.156453716
13E07,Prestw-1802,Darunavir,,Infectiology,Antiviral,1.154968566
04C06,Prestw-265,Dimenhydrinate,,Allergology 'Central Nervous System,Antiemetic 'Antihistaminic 'Antivertigo,1.153376688
13E05,Prestw-1004,Meptazinol hydrochloride,,Central Nervous System,Analgesic,1.137135489
13D07,Prestw-1321,Prothionamide,,Infectiology,Antibacterial,1.136479861
14F06,Prestw-1095,Cyclopentolate hydrochloride,,Ophthalmology,Mydriatic,1.135561497
19C11,Prestw-2080,Oxyphenisatin,,Gastroenterology,Laxative,1.127910721
18C04,Prestw-1961,Methandrostenolone,,Endocrinology,Anabolic,1.126239892
10G08,Prestw-787,Merbromin disodium salt,,Infectiology,Antibacterial 'Antineoplastic,1.120995465
04C05,Prestw-264,Dyclonine hydrochloride,,Neuromuscular,Local anesthetic,1.11925963
15G05,Prestw-1190,Olmesartan,,Cardiovascular,Antihypertensive,1.118199689
08D06,Prestw-1410,Exemestane,,Endocrinology,Antineoplastic,1.096532563
14F03,Prestw-1092,Ranolazine,,Cardiovascular,Antianginal,1.094680066
04E09,Prestw-288,Spiperone,,Central Nervous System,Antipsychotic,1.086093047
05E07,Prestw-366,Ambroxol hydrochloride,,Respiratory,Expectorant 'Mucolytic,1.085092204
16D07,Prestw-1713,Fenoldopam,,Cardiovascular,Antihypertensive 'Vasodilator,1.077530616
06D11,Prestw-440,Epiandrosterone,,Endocrinology,Anabolic,1.074802373
14E02,Prestw-1081,(S)-(-)-Propranolol hydrochloride,,Cardiovascular,Antianginal 'Antiarrhythmic 'Antihypertensive 'Antineoplastic,1.067739259
13F09,Prestw-1018,Alprostadil,,Cardiovascular,Erectile dysfunction treatment 'Vasodilator 'Antiasthmatic 'Antiglaucoma,1.060252198
15C03,Prestw-1398,Dopamine hydrochloride,,Cardiovascular,Antihypertensive,1.055653417
19C05,Prestw-2073,Bisbentiamine,,Metabolism,Antianemic,1.05548531
17B04,Prestw-747,Cefamandole sodium salt,,Infectiology,Antibacterial,1.052892562
09D04,Prestw-1456,Opipramol dihydrochloride,,Central Nervous System,Antidepressant 'Antipsychotic,1.052111103
04F06,Prestw-295,Pergolide mesylate,,Central Nervous System,Antiparkinsonian,1.047373687
16E10,Prestw-1731,Zoledronic acid hydrate,,Oncology,Antiosteoporetic,1.039667515
18H11,Prestw-2043,Artenimol,,Infectiology,Antimalarial 'Antipaludic,1.039437517
15G11,Prestw-1423,Fosinopril,,Cardiovascular,Antihypertensive,1.038038345
16C03,Prestw-1706,Donepezil hydrochloride,,Central Nervous System,Anti-Alzheimer 'Antipsychotic 'CNS Stimulant,1.036236171
07H07,Prestw-1144,Mirtazapine,,Central Nervous System,Antidepressant,1.032002369
15E07,Prestw-1343,Sparfloxacin,,Infectiology,Antibacterial,1.031502898
14F04,Prestw-1443,Misoprostol,,Metabolism,Antiulcer,1.029789784
15B05,Prestw-1223,Anethole-trithione,,Metabolism,Choleretic 'Antifungal,1.029001047
15F05,Prestw-1286,Ibudilast,,Metabolism,Anti-inflammatory,1.019555283
12C10,Prestw-909,Nabumetone,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,1.014379913
08H03,Prestw-632,Dipivefrin hydrochloride,,Ophthalmology,Antiglaucoma,1.009535452
03G08,Prestw-227,Clemizole hydrochloride,,Allergology 'Dermatology 'Infectiology,Antibacterial 'Antifungal 'Antihistaminic 'Antipruritic,1.007300885
13G09,Prestw-1028,Benzathine benzylpenicillin,,Metabolism,Antibacterial,1.00605363
13E02,Prestw-1001,Alfadolone acetate,,Central Nervous System,Anesthetic,1.002338406
05F11,Prestw-380,Clebopride maleate,,Central Nervous System,Antiemetic 'Antispastic,1.001853011
04B08,Prestw-257,Retinoic acid,,Dermatology,Keratolytic 'Antineoplastic,0.999049525
16A04,Prestw-1777,Trimebutine,,Neuromuscular,Antispastic,0.998846359
06H02,Prestw-1358,Vatalanib,,Oncology,Antineoplastic,0.998372483
19C08,Prestw-2076,Feprazone,,Rheumatology,Anti-inflammatory,0.996159615
14B06,Prestw-1055,Piperidolate hydrochloride,,Neuromuscular,Antispastic,0.986806196
15H10,Prestw-1207,Acetylsalicylic acid,,Central Nervous System,Analgesic 'Anti-inflammatory 'Antipyretic,0.986418524
04F11,Prestw-300,Diperodon hydrochloride,,Neuromuscular,Local anesthetic,0.986343172
13E04,Prestw-1003,Azapropazone,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.981707983
15D08,Prestw-1307,Olopatadine hydrochloride,,Allergology,Antihistaminic,0.980393659
14E11,Prestw-1090,Homosalate,,Dermatology,Radioprotectant,0.977235847
17G09,Prestw-1911,Mexenone,,Dermatology,UV-protectant,0.976475111
16C09,Prestw-1763,Actarit,,Immunology,Anti-inflammatory 'Immunomodulator,0.975477726
03H10,Prestw-239,Orphenadrine hydrochloride,,Allergology 'Central Nervous System,Antihistaminic 'Antiparkinsonian,0.973174779
15B06,Prestw-1476,Amcinonide,,Metabolism,Anti-inflammatory,0.971509535
13F07,Prestw-1016,Moxonidine,,Cardiovascular,Antihypertensive,0.967546422
15D09,Prestw-1187,Granisetron,,Endocrinology,Antiemetic,0.966710066
15H05,Prestw-1338,Rufloxacin,,Infectiology,Antibacterial,0.966556892
16G09,Prestw-1783,Palonosetron hydrochloride,,Central Nervous System,Antiemetic,0.961397385
12F06,Prestw-1827,Paliperidone,,Central Nervous System,Antipsychotic,0.952154791
02C08,Prestw-1314,Pioglitazone,,Endocrinology ,,0.949883133
04G11,Prestw-310,Mebeverine hydrochloride,,Neuromuscular,Antispastic,0.947623812
15B11,Prestw-1394,Diclazuril,,Infectiology,Antiparasitic,0.945929387
04F03,Prestw-292,Trazodone hydrochloride,,Central Nervous System,Antidepressant,0.943621811
18D06,Prestw-2008,Azaribine,,Oncology 'Dermatology,Antineoplastic 'Antipsoriatic,0.941879457
15E06,Prestw-1419,Fluocinolone acetonide,,Metabolism,Anti-inflammatory,0.939751347
19B04,Prestw-1998,Chlorpromazine Sulfoxide,,Central Nervous System,Antiemetic 'Antipsychotic,0.938011953
07B03,Prestw-492,Nitrofural,,Infectiology,Antibacterial 'Antidotes,0.935919127
12D05,Prestw-914,Estrone,,Endocrinology,Menopausal symptoms,0.930283771
17F03,Prestw-1891,Prasterone,,Endocrinology,Erectile dysfunction treatment,0.929476584
16E04,Prestw-1701,Clopidogrel,,Cardiovascular,Antiplatelet,0.927853044
05G08,Prestw-387,Carbetapentane citrate,,Central Nervous System 'Neuromuscular,Antispastic 'Antitussive 'Local anesthetic,0.922417366
14E09,Prestw-1088,Synephrine,,Cardiovascular,Vasoconstrictor,0.917490319
10D08,Prestw-757,Chlorotrianisene,,Endocrinology,Antineoplastic,0.91630358
14B10,Prestw-1059,Propoxycaine hydrochloride,,Central Nervous System,Anesthetic,0.916052001
07F02,Prestw-531,Pirenperone,,Central Nervous System,Anxiolytic,0.915667033
01H07,Prestw-76,Dibucaine,,Neuromuscular,Local anesthetic,0.909459195
18B06,Prestw-1945,Exifone,,Central Nervous System,CNS Stimulant 'Nootropic,0.909214038
04C04,Prestw-263,Doxepin hydrochloride,,Allergology 'Central Nervous System,Anticonvulsant 'Antidepressant 'Antipruritic 'Antispastic 'Muscle relaxant,0.908554277
07H10,Prestw-1817,Tazarotene,,Dermatology,Antipsoriatic 'Antiacneic,0.900084595
07C10,Prestw-509,Bromperidol,,Central Nervous System,Antipsychotic,0.895922511
13C02,Prestw-981,Nitrocaramiphen hydrochloride,,Central Nervous System,,0.894640607
13C10,Prestw-1374,Chlormadinone acetate,,Endocrinology,Antineoplastic,0.891406176
04B03,Prestw-252,Diphenidol hydrochloride,,Central Nervous System,Antiemetic 'Antivertigo,0.890445223
16F04,Prestw-1750,Terbinafine,,Infectiology,Antifungal,0.889102526
13B10,Prestw-979,Ozagrel hydrochloride,,Cardiovascular,Antianginal,0.888696248
14F02,Prestw-1091,Spaglumic acid,,Allergology 'Cardiovascular,Antiallergic 'Vasodilator,0.888447354
13B05,Prestw-974,Pronethalol hydrochloride,,Cardiovascular,Antianginal 'Antiarrhythmic 'Antihypertensive,0.885811485
02B04,Prestw-93,Azacyclonol,,Central Nervous System,Antipsychotic,0.883749162
16F09,Prestw-1759,Valdecoxib,,Metabolism 'Immunology,Antiarthritic 'Anti-inflammatory,0.882713128
04F08,Prestw-297,Benzydamine hydrochloride,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory 'Antipyretic,0.880890445
17C03,Prestw-1381,Clodronate disodium,,Neuromuscular,Antiosteoporetic,0.880274201
11C07,Prestw-826,Oxolamine citrate salt,,Central Nervous System 'Metabolism 'Respiratory,Anti-inflammatory 'Antispastic 'Antitussive,0.873654085
16B03,Prestw-1762,Ezetimibe,,Metabolism,Hypocholesterolemic,0.873010708
17H02,Prestw-1915,Piperonyl butoxide,,Dermatology,Antiparasitic,0.872278814
16A03,Prestw-1749,Silodosin,,Cardiovascular,Antihypertensive,0.870170976
01A06,Prestw-5,Atracurium besylate,,Neuromuscular,Curarizing,0.869291831
12H08,Prestw-957,Deoxycorticosterone,,Endocrinology,Anti-inflammatory,0.868021005
14D06,Prestw-1075,(R) Propranolol hydrochloride,,Cardiovascular,Antianginal 'Antiarrhythmic 'Antihypertensive 'Antimigraine 'Antineoplastic,0.866042781
15E09,Prestw-1378,Clarithromycin,,Infectiology,Antibacterial,0.859845294
15F06,Prestw-1433,Losartan,,Cardiovascular,Antihypertensive,0.859130479
09G07,Prestw-706,Chlorcyclizine hydrochloride,,Allergology 'Central Nervous System,Antiemetic 'Antihistaminic 'Sedative,0.857275455
04C03,Prestw-262,Triprolidine hydrochloride,,Allergology 'Central Nervous System,Antihistaminic 'Sedative,0.856928464
18F07,Prestw-2066,Tinoridine hydrochloride,,Rheumatology,Anti-inflammatory 'Analgesic 'Antipyretic,0.850456121
16B09,Prestw-1716,Altrenogest,,Endocrinology,Progestogen,0.85041117
14D07,Prestw-1076,Ciprofibrate,,Metabolism,Hypocholesterolemic,0.84977872
07C03,Prestw-502,Biperiden hydrochloride,,Central Nervous System,Antiparkinsonian 'Antineoplastic,0.849530497
13G05,Prestw-1024,Nifurtimox,,Infectiology,Antiparasitic,0.840791707
16E07,Prestw-1769,Enalaprilat dihydrate,,Cardiovascular,Antihypertensive,0.8391114
16C07,Prestw-1721,Avobenzone,,Dermatology,Cytoprotectant,0.838342306
05F02,Prestw-371,Ketotifen fumarate,,Allergology,Antihistaminic,0.836983819
16D05,Prestw-1770,Perospirone hydrochloride,,Central Nervous System,Antipsychotic,0.835561735
06F06,Prestw-455,"Mebhydroline 1,5-naphtalenedisulfonate",,Allergology,Antihistaminic,0.83439486
05D10,Prestw-359,Dextromethorphan hydrobromide monohydrate,,Central Nervous System,Antitussive,0.83318027
17H04,Prestw-1917,Tioguanine,,Oncology,Antineoplastic,0.832199372
10H10,Prestw-799,Pridinol methanesulfonate salt,,Central Nervous System,Antiparkinsonian,0.831495598
16C11,Prestw-1722,Azatadine maleate,,Allergology,Antihistaminic,0.829645625
18E08,Prestw-2039,Cypermethrin,,Infectiology,Antiparasitic 'Ectoparasiticide,0.829263435
14B05,Prestw-1054,Levopropoxyphene napsylate,,Central Nervous System 'Respiratory,Analgesic 'Antitussive,0.821565554
09G08,Prestw-707,Diphenylpyraline hydrochloride,,Allergology 'Central Nervous System,Antihistaminic 'Antipruritic 'Sedative,0.819757136
11F09,Prestw-858,Doxazosin mesylate,,Cardiovascular,Antihypertensive,0.818933444
08H02,Prestw-1210,Alendronate sodium,,Metabolism,Antiosteoporetic,0.816870416
14D03,Prestw-1072,Lansoprazole,,Metabolism,Antiulcer 'Antibacterial,0.815093122
19B03,Prestw-1997,Bunazosin hydrochloride,,Ophthalmology 'Cardiovascular,Antiglaucoma 'Antihypertensive,0.815072528
13F08,Prestw-1017,Etilefrine hydrochloride,,Cardiovascular,Vasoconstrictor,0.813473881
11F08,Prestw-857,(+) Levobunolol hydrochloride,,Ophthalmology,Antiglaucoma,0.813056889
13G08,Prestw-1027,Tocainide hydrochloride,,Cardiovascular 'Central Nervous System,Anesthetic 'Antiarrhythmic,0.811594414
02B03,Prestw-92,Zimelidine dihydrochloride monohydrate,,Central Nervous System,Antidepressant,0.807396133
15H03,Prestw-1446,Moxifloxacin,,Infectiology,Antibacterial,0.805570448
17E02,Prestw-1868,Exalamide,,Infectiology,Antifungal 'Antibacterial,0.804318022
05F08,Prestw-377,Nafronyl oxalate,,Cardiovascular 'Neuromuscular,Anti-ischemic 'Antispastic 'Vasodilator,0.803629625
14F09,Prestw-1339,Sarafloxacin,,Infectiology,Antibacterial,0.799548221
16B04,Prestw-1761,Rizatriptan benzoate,,Central Nervous System 'Cardiovascular,Antimigraine 'Vasoconstrictor,0.7991185
18C05,Prestw-1962,(R)-Tamsulosin hydrochloride,,Neuromuscular,Muscle relaxant,0.798749153
19B10,Prestw-2004,Tacrolimus Monohydrate,,Immunology,Immunosuppressant,0.796836591
11E05,Prestw-844,Procyclidine hydrochloride,,Central Nervous System,Antiparkinsonian 'Muscle relaxant,0.787795338
04B10,Prestw-259,Ethacrynic acid,,Metabolism,Diuretic,0.787693847
16C06,Prestw-1748,Nateglinide,,Endocrinology,Antidiabetic,0.784624031
14H06,Prestw-1115,Ronidazole,,Infectiology 'Metabolism,Antibacterial 'Antiprotozoal 'Antitrichomonal,0.778581966
19D05,Prestw-2084,"	Sofalcone",,Gastroenterology,Antiulcer,0.777799593
14B03,Prestw-1052,Iopanoic acid,,Diagnostic,Contrastant,0.775926609
16F07,Prestw-1712,Flumethasone pivalate,,Dermatology,Anti-inflammatory,0.775572384
07H06,Prestw-555,Nifuroxazide,,Infectiology 'Metabolism,Antibacterial 'Antineoplastic,0.774968277
13G06,Prestw-1025,Letrozole,,Oncology,Antineoplastic,0.769459398
12H07,Prestw-956,Megestrol acetate,,Endocrinology 'Oncology,Antineoplastic 'Contraceptive,0.768453281
16D03,Prestw-1792,Pidotimod,,Immunology,Immunostimulant,0.763858487
03B05,Prestw-174,Alverine citrate salt,,Neuromuscular,Antispastic,0.762942478
18E09,Prestw-2040,Phenothrin,,Infectiology,Antiparasitic,0.762219655
16E08,Prestw-1791,Pregabalin,,Central Nervous System,Anticonvulsant 'Anxiolytic,0.762201976
16A08,Prestw-1719,Amorolfine hydrochloride,,Infectiology,Antifungal,0.760604626
01D05,Prestw-34,Triamterene,,Metabolism,Antihypertensive 'Diuretic,0.758596958
14D02,Prestw-1071,Imidurea,,Infectiology,Antifungal,0.757892311
16B06,Prestw-1758,Pantoprazole sodium,,Metabolism,Antiulcer,0.756581672
11A02,Prestw-801,Carbinoxamine maleate salt,,Allergology,Antihistaminic,0.754482145
14C03,Prestw-1062,Ioxaglic acid,,Diagnostic,Contrastant,0.753245436
11E07,Prestw-846,Ethynylestradiol 3-methyl ether,,Endocrinology,Contraceptive,0.752268897
15F09,Prestw-1350,Telmisartan,,Cardiovascular,Antihypertensive,0.7519083
14G08,Prestw-1107,Ramipril,,Cardiovascular,Antihypertensive,0.751807118
17H07,Prestw-1921,Allylestrenol,,Endocrinology,Progestogen,0.743481325
17D06,Prestw-1859,Oxeladin citrate,,Central Nervous System,Antitussive,0.743276315
01D08,Prestw-37,Pyrimethamine,,Infectiology,Antimalarial 'Antiprotozoal 'Antineoplastic,0.742126462
16F08,Prestw-1756,Lofepramine,,Central Nervous System,Antidepressant 'Anxiolytic 'Sedative ,0.741554754
02B07,Prestw-96,Guanabenz acetate,,Central Nervous System,Antihypertensive,0.741515827
13C07,Prestw-1828,Capecitabine,,Oncology,Antineoplastic,0.739737603
12E09,Prestw-928,Nilutamide,,Oncology,Antineoplastic,0.727647454
17E10,Prestw-1887,Pantethine,,Cardiovascular,Antilipemic,0.726875521
02F05,Prestw-134,Diltiazem hydrochloride,,Cardiovascular 'Hematology 'Metabolism,Antianginal 'Antiarrhythmic 'Antihypertensive 'Antiplatelet 'Diuretic 'Vasodilator,0.726114765
07D09,Prestw-518,Budesonide,,Endocrinology,Anti-inflammatory 'Antineoplastic,0.726038406
19A09,Prestw-1993,Anisotropine Methylbromide,,Gastroenterology,Antispastic,0.72365724
16A06,Prestw-1707,Doxapram hydrochloride,,Respiratory 'Cardiovascular,Analeptic 'Eupneic,0.722623203
17H08,Prestw-1922,Carazolol,,Cardiovascular 'Ophthalmology,Antiglaucoma 'Antihypertensive 'Antianginal,0.719443911
01H05,Prestw-74,Amitryptiline hydrochloride,,Central Nervous System,Antidepressant,0.718476518
17D05,Prestw-1858,Bucetin,,Central Nervous System,Antipyretic 'Analgesic,0.718060094
16D06,Prestw-1726,Cefpiramide,,Infectiology,Antibacterial,0.717121221
04G06,Prestw-305,Bupivacaine hydrochloride,,Neuromuscular,Local anesthetic,0.714657329
18D07,Prestw-2010,Mebanazine,,Central Nervous System,Antidepressant,0.713500378
13E03,Prestw-1002,Alfaxalone,,Central Nervous System,Anesthetic,0.713119113
16D09,Prestw-1705,Diatrizoic acid dihydrate,,Diagnostic,Contrastant,0.711086789
18E07,Prestw-2037,Chlorquinaldol,,Infectiology,Antibacterial 'Antiseptic 'Antifungal,0.710911046
02G02,Prestw-141,Verapamil hydrochloride,,Cardiovascular,Antihypertensive 'Antineoplastic,0.709916472
13G10,Prestw-1029,Risperidone,,Central Nervous System,Antipsychotic,0.708311176
14C06,Prestw-1065,Milrinone,,Cardiovascular,Vasodilator,0.706223493
14E03,Prestw-1082,(-) Eseroline fumarate salt,,Central Nervous System,Analgesic,0.705614973
06G08,Prestw-1157,Rifapentine,,Infectiology,Antibacterial,0.704954415
14F10,Prestw-1099,Nialamide,,Central Nervous System,Antidepressant 'Detoxifying agents for antineoplastic treatment,0.702627697
14G05,Prestw-1104,Clonixin lysinate,,Central Nervous System 'Infectiology,Analgesic 'Antifungal,0.702074498
19A05,Prestw-2047,Tripamide,,Cardiovascular,Diuretic 'Antihypertensive,0.698777203
14H08,Prestw-1117,Azaperone,,Central Nervous System,Antipsychotic 'Sedative,0.695878665
05F04,Prestw-373,Amethopterin,,Immunology 'Metabolism 'Oncology,Anti-inflammatory 'Antineoplastic 'Immunosuppressant,0.695472315
15H09,Prestw-1342,Sildenafil,,Cardiovascular,Antihypertensive 'Erectile dysfunction treatment,0.69436573
16B02,Prestw-1773,Ipriflavone,,Metabolism,Antiosteoporetic,0.692687689
16C02,Prestw-1708,(R)-Duloxetine hydrochloride,,Central Nervous System,Antidepressant 'Anxiolytic,0.692332722
05A03,Prestw-322,Alfuzosin hydrochloride,,Cardiovascular,"Vasodilator, 'Anti-infiammatory",0.688645433
08G02,Prestw-1506,Mizolastine,,Allergology,Antihistaminic,0.688086241
04D09,Prestw-278,Cinnarizine,,Allergology 'Central Nervous System,Antihistaminic 'Antivertigo 'Sedative 'Vasodilator 'Antibacterial,0.687393697
15E05,Prestw-1405,Ethinylestradiol,,Endocrinology,Contraceptive,0.687370759
10A08,Prestw-1140,Liranaftate,,Infectiology,Antifungal,0.686910341
13F06,Prestw-1015,Ethamsylate diethylammonium salt,,Cardiovascular 'Hematology,Antiplatelet 'Hemostatic,0.684271488
12F08,Prestw-937,Dehydroisoandosterone 3-acetate,,Endocrinology,Anabolic,0.68236202
06H07,Prestw-476,Primaquine diphosphate,,Infectiology,Antimalarial,0.681746446
15G10,Prestw-1291,Imiquimod,,Dermatology,Antiviral,0.679865206
14G03,Prestw-1102,Fexofenadine hydrochloride,,Allergology,Antihistaminic,0.676737968
08E07,Prestw-1331,Rimantadine hydrochloride,,Infectiology,Antiviral,0.675416759
07B10,Prestw-499,Propafenone hydrochloride,,Cardiovascular,Antiarrhythmic,0.674367651
14H02,Prestw-1111,Mecamylamine hydrochloride,,Cardiovascular,Antihypertensive,0.674027291
12C04,Prestw-903,Diloxanide furoate,,Metabolism,Antiamebic,0.672235851
18D10,Prestw-2018,Mosapride,,Gastroenterology,Antiemetic 'Antiulcer 'gastroesophageal reflux disease,0.668047644
08B06,Prestw-1351,Tenatoprazole,,Metabolism,Antiulcer,0.665592354
05E06,Prestw-365,Brinzolamide,,Metabolism,Antiglaucoma 'Diuretic,0.664458766
11A09,Prestw-808,Furazolidone,,Metabolism,Antineoplastic,0.659655929
12A09,Prestw-888,Promethazine hydrochloride,,Allergology 'Central Nervous System,Antihistaminic 'Sedative,0.659625194
15F07,Prestw-1236,Benztropine mesylate,,Central Nervous System,Antiparkinsonian,0.655867861
19C09,Prestw-2078,Lanoconazole,,Dermatology,Antifungal,0.654860168
01H03,Prestw-72,Imipramine hydrochloride,,Central Nervous System,Antidepressant,0.654565362
15G03,Prestw-1244,Bosentan,,Cardiovascular,Vasodilator,0.651936382
07A09,Prestw-488,Dosulepin hydrochloride,,Central Nervous System,Antidepressant 'CNS Stimulant,0.651882243
05F09,Prestw-378,Bezafibrate,,Metabolism,Antilipemic 'Hypocholesterolemic 'Lipid-lowering,0.651633982
10E06,Prestw-765,Ethoxyquin,,Metabolism,Antifungal 'Antineoplastic,0.651587405
12F04,Prestw-933,Primidone,,Central Nervous System,Anticonvulsant,0.649724887
14D09,Prestw-1078,Benzylpenicillin sodium,,Infectiology,Antibacterial,0.649575881
11A08,Prestw-807,Chloropyramine hydrochloride,,Allergology,Antihistaminic,0.6466054
12D04,Prestw-913,2-Aminobenzenesulfonamide,,Metabolism,Diuretic,0.646035799
11D07,Prestw-836,Indoprofen,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.644125036
17C07,Prestw-1843,Quinine ethyl carbonate,,Infectiology 'Neuromuscular,Antimalarial 'Muscle relaxant,0.643487731
12C07,Prestw-906,Fluspirilen,,Central Nervous System,Antipsychotic 'Antineoplastic,0.64163148
13B07,Prestw-976,Tracazolate hydrochloride,,Central Nervous System,Anticonvulsant 'Sedative,0.639732504
12E05,Prestw-1826,Posaconazole hydrate,,Infectiology,Antifungal,0.639034061
18F02,Prestw-2049,Abemaciclib,,Oncology,Antineoplastic,0.636378122
14F11,Prestw-1195,Toltrazuril,,Infectiology,Anticoccidial,0.634362899
06E06,Prestw-445,Cyclobenzaprine hydrochloride,,Neuromuscular,Muscle relaxant,0.633343667
17A04,Prestw-2100,Ampicillin sodium salt,,Infectiology,Antibacterial 'Antifungal,0.631853418
13A10,Prestw-1514,Darifenacin hydrobromide,,Neuromuscular,Anti-incontinence,0.631690136
18C07,Prestw-1966,Acetyl-L-glutamine,,Central Nervous System,CNS Stimulant 'Antiulcer,0.630004382
15E11,Prestw-1352,Tulobuterol hydrochloride,,Respiratory,Bronchodilator,0.628755967
05G03,Prestw-382,Betaxolol hydrochloride,,Cardiovascular 'Ophthalmology,Antiglaucoma 'Antihypertensive,0.628617638
19D06,Prestw-2085,Sarpogrelate hydrochloride,,Cardiovascular,Antiplatelet,0.623618757
