SMILES,CHEMBL_ID,CHEMBL_COMPOUND_NAME,CHEMBL_MAX_PHASE,Plate Number/Position Number,Prestw number,Chemical name,Structure,Broad Therapeutic class,Reported therapeutic effect,Inhibition Index
C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,"CHEMBL1294,CHEMBL21578",QUINIDINE,"0,4",04D11,Prestw-280,Quinidine hydrochloride monohydrate,nan,Cardiovascular 'Infectiology,Antiarrhythmic 'Antimalarial,1.4110055030000002
C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,CHEMBL1740659,FURSULTIAMINE,4,13E08,Prestw-1007,Fursultiamine hydrochloride,nan,Metabolism,Anti-Alzheimer,1.385137645
CN(C)CCCSC(=N)N,CHEMBL12344,DIMAPRIT,0,13C04,Prestw-983,Dimaprit dihydrochloride,nan,Ophthalmology,Antiglaucoma,1.382078049
CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CHEMBL1200386,PREDNICARBATE,4,14A05,Prestw-1044,Prednicarbate,nan,Metabolism,Anti-Inflammatory,1.367905219
C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,CHEMBL132530,FORMESTANE,4,14D08,Prestw-1420,Formestane,nan,Endocrinology,Antineoplastic,1.364586022
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,CHLOROQUINE,4,07G09,Prestw-548,Chloroquine diphosphate,nan,Metabolism,Anti-inflammatory 'Antimalarial 'Antiprotozoal,1.351010913
COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1,CHEMBL1200641,CISATRACURIUM BESYLATE,4,16H02,Prestw-1745,Cisatracurium besylate,nan,Neuromuscular,Muscle relaxant,1.338431048
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.Cl,CHEMBL1201061,LEVALBUTEROL HYDROCHLORIDE,4,14E05,Prestw-1516,Levalbuterol hydrochloride,nan,Respiratory,Antiasthmatic 'Bronchodilator,1.310538447
N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,CHEMBL1372,OXIGLUTATIONE,4,17D04,Prestw-1857,Oxiglutatione,nan,Ophthalmology,Antidote,1.296598116
C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,CHEMBL323533,EQUILIN,0,11E11,Prestw-850,Equilin,nan,Endocrinology,nan,1.281616688
C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,CHEMBL27193,DILEVALOL,4,19E10,Prestw-2052,Dilevalol,nan,Cardiovascular,Antihypertensive,1.27671973
COC1C(O)CC(=O)OC(C)C/C=C/C=C/[C@H](O[C@H]2CC[C@H](N(C)C)[C@H](C)O2)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@@H]2C[C@](C)(O)[C@H](O)[C@@H](C)O2)[C@H](N(C)C)[C@H]1O,"CHEMBL1908369,CHEMBL453514",SPIRAMYCIN,"0,4",19H04,Prestw-1940,Acetyl spiramycin,nan,Infectiology,Antibacterial,1.276012911
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,CHEMBL114655,NYLIDRIN,0,11F03,Prestw-1454,Nylidrin,nan,Cardiovascular,Vasodilator,1.263071199
CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,CHEMBL1902981,EPERISONE,3,18B09,Prestw-1951,Eperisone HCl,nan,Neuromuscular,Muscle relaxant 'Antispastic,1.254272398
COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,CHEMBL1503,OMEPRAZOLE,4,07B04,Prestw-493,Omeprazole,nan,Gastroenterology,Antiulcer,1.248735302
CCCNC(C)(C)COC(=O)c1ccccc1.Cl,CHEMBL2104800,MEPRYLCAINE HYDROCHLORIDE,0,14C05,Prestw-1064,Meprylcaine hydrochloride,nan,Neuromuscular,Local anesthetic,1.2298819840000002
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,CHEMBL1510,ELETRIPTAN,4,19A03,Prestw-2045,Eletriptan,nan,Central Nervous System,Antimigraine,1.227289505
CC(C)(N)Cc1ccccc1.Cl,CHEMBL1200912,PHENTERMINE HYDROCHLORIDE,4,15B10,Prestw-1308,Phentermine hydrochloride,nan,Central Nervous System,Anti-obesity,1.218937479
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,CHEMBL1539,SULFADOXINE,4,14F05,Prestw-1094,Sulfadoxine,nan,Infectiology,Antibacterial,1.198515582
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N.Cl,CHEMBL1200654,BENOXINATE HYDROCHLORIDE,4,01F08,Prestw-57,Benoxinate hydrochloride,nan,Neuromuscular,Local anesthetic,1.192883119
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL33,LEVOFLOXACIN,4,13G07,Prestw-1829,Levofloxacin,nan,Infectiology,Antibacterial,1.1864824109999998
O=C1c2c(O)cccc2Cc2cccc(O)c21,CHEMBL46469,ANTHRALIN,4,15D10,Prestw-1224,Anthralin,nan,Dermatology,Antipsoriatic,1.183656276
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,CHEMBL826,ENOXACIN,4,15D07,Prestw-1401,Enoxacin,nan,Infectiology,Antibacterial,1.18243088
Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,CHEMBL1200399,BUSPIRONE HYDROCHLORIDE,4,15A02,Prestw-1283,Buspirone hydrochloride,nan,Central Nervous System,Anxiolytic,1.175538026
C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21,CHEMBL1229211,DOLUTEGRAVIR,4,16E09,Prestw-1841,Dolutegravir,nan,Infectiology,Antiviral,1.174140685
Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1.Cl,CHEMBL1395150,TOLPERISONE HYDROCHLORIDE,0,17E06,Prestw-1877,Tolperisone hydrochloride,nan,Central Nervous System,Muscle relaxant,1.171747069
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,CHEMBL2079130,VONOPRAZAN,3,19F05,Prestw-2019,Vonoprazan,nan,Gastroenterology,Antiulcer,1.171120937
CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl,CHEMBL1200446,TRIPELENNAMINE HYDROCHLORIDE,4,15E10,Prestw-1199,Tripelennamine hydrochloride,nan,Allergology,Antihistaminic,1.1703300909999999
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CHEMBL1016,CANDESARTAN,3,15C07,Prestw-1258,Candesartan,nan,Cardiovascular,Antihypertensive,1.165683797
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1.O=C(O)C(O)C(O)C(=O)O,CHEMBL1722209,TOLTERODINE TARTRATE,4,16G04,Prestw-1744,Tolterodine tartrate,nan,Neuromuscular,Muscle relaxant,1.165444004
CC(C)NCC(O)c1ccc(O)c(O)c1,CHEMBL434,ISOPROTERENOL,4,14F08,Prestw-1097,(-) Isoproterenol hydrochloride,nan,Cardiovascular 'Respiratory,Bronchodilator 'Vasodilator,1.163332104
CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,CHEMBL141305,CYCLOFENIL,4,19D11,Prestw-2067,Cyclofenil,nan,Endocrinology,anti-estrogen,1.162026529
Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2,CHEMBL543467,IDAZOXAN HYDROCHLORIDE,0,12E07,Prestw-926,Idazoxan hydrochloride,nan,Central Nervous System,Antiparkinsonian 'Antipsychotic,1.161905778
CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,CHEMBL1200469,PROMAZINE HYDROCHLORIDE,4,09F04,Prestw-693,Promazine hydrochloride,nan,Central Nervous System,Antipsychotic,1.160981227
CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1.O=C(O)C(O)C(O)C(=O)O,CHEMBL1256662,IFENPRODIL TARTRATE,0,04H02,Prestw-311,Ifenprodil tartrate,nan,Cardiovascular,Vasodilator,1.159229615
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CHEMBL715,OLANZAPINE,4,11E02,Prestw-1455,Olanzapine,nan,Central Nervous System,Antipsychotic,1.156453716
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,CHEMBL1323,DARUNAVIR,4,13E07,Prestw-1802,Darunavir,nan,Infectiology,Antiviral,1.154968566
CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,CHEMBL1200406,DIMENHYDRINATE,4,04C06,Prestw-265,Dimenhydrinate,nan,Allergology 'Central Nervous System,Antiemetic 'Antihistaminic 'Antivertigo,1.153376688
CCC1(c2cccc(O)c2)CCCCN(C)C1.Cl,CHEMBL1477274,MEPTAZINOL HYDROCHLORIDE,4,13E05,Prestw-1004,Meptazinol hydrochloride,nan,Central Nervous System,Analgesic,1.137135489
CCCc1cc(C(N)=S)ccn1,CHEMBL1378024,PROTIONAMIDE,4,13D07,Prestw-1321,Prothionamide,nan,Infectiology,Antibacterial,1.136479861
CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1.Cl,CHEMBL1200473,CYCLOPENTOLATE HYDROCHLORIDE,4,14F06,Prestw-1095,Cyclopentolate hydrochloride,nan,Ophthalmology,Mydriatic,1.135561497
O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL245807,OXYPHENISATINE,0,19C11,Prestw-2080,Oxyphenisatin,nan,Gastroenterology,Laxative,1.127910721
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,CHEMBL1418176,METHANDROSTENOLONE,4,18C04,Prestw-1961,Methandrostenolone,nan,Endocrinology,Anabolic,1.126239892
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl,CHEMBL1200478,DYCLONINE HYDROCHLORIDE,4,04C05,Prestw-264,Dyclonine hydrochloride,nan,Neuromuscular,Local anesthetic,1.11925963
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CHEMBL1516,OLMESARTAN,3,15G05,Prestw-1190,Olmesartan,nan,Cardiovascular,Antihypertensive,1.118199689
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,CHEMBL1200374,EXEMESTANE,4,08D06,Prestw-1410,Exemestane,nan,Endocrinology,Antineoplastic,1.096532563
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,CHEMBL1404,RANOLAZINE,4,14F03,Prestw-1092,Ranolazine,nan,Cardiovascular,Antianginal,1.094680066
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,CHEMBL267930,SPIPERONE,0,04E09,Prestw-288,Spiperone,nan,Central Nervous System,Antipsychotic,1.086093047
Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,CHEMBL153479,AMBROXOL,3,05E07,Prestw-366,Ambroxol hydrochloride,nan,Respiratory,Expectorant 'Mucolytic,1.085092204
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,CHEMBL588,FENOLDOPAM,4,16D07,Prestw-1713,Fenoldopam,nan,Cardiovascular,Antihypertensive 'Vasodilator,1.077530616
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,CHEMBL272195,EPIANDROSTERONE,0,06D11,Prestw-440,Epiandrosterone,nan,Endocrinology,Anabolic,1.074802373
CC(C)NCC(O)COc1cccc2ccccc12.Cl,CHEMBL1671,PROPRANOLOL HYDROCHLORIDE,4,14E02,Prestw-1081,(S)-(-)-Propranolol hydrochloride,nan,Cardiovascular,Antianginal 'Antiarrhythmic 'Antihypertensive 'Antineoplastic,1.067739259
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,CHEMBL495,ALPROSTADIL,4,13F09,Prestw-1018,Alprostadil,nan,Cardiovascular,Erectile dysfunction treatment 'Vasodilator 'Antiasthmatic 'Antiglaucoma,1.060252198
Cl.NCCc1ccc(O)c(O)c1,CHEMBL1557,DOPAMINE HYDROCHLORIDE,4,15C03,Prestw-1398,Dopamine hydrochloride,nan,Cardiovascular,Antihypertensive,1.055653417
C/C(=C(\CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,CHEMBL2105814,BISBENTIAMINE,0,19C05,Prestw-2073,Bisbentiamine,nan,Metabolism,Antianemic,1.05548531
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,CHEMBL1146,CEFAMANDOLE,4,17B04,Prestw-747,Cefamandole sodium salt,nan,Infectiology,Antibacterial,1.052892562
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,CHEMBL370753,OPIPRAMOL,3,09D04,Prestw-1456,Opipramol dihydrochloride,nan,Central Nervous System,Antidepressant 'Antipsychotic,1.0521111029999999
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,CHEMBL1275,PERGOLIDE MESYLATE,4,04F06,Prestw-295,Pergolide mesylate,nan,Central Nervous System,Antiparkinsonian,1.047373687
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,CHEMBL924,ZOLEDRONIC ACID,4,16E10,Prestw-1731,Zoledronic acid hydrate,nan,Oncology,Antiosteoporetic,1.039667515
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,CHEMBL252518,ARTENIMOL,4,18H11,Prestw-2043,Artenimol,nan,Infectiology,Antimalarial 'Antipaludic,1.039437517
CCC(=O)O[C@@H](O[P@](=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,CHEMBL3039598,FOSINOPRIL,4,15G11,Prestw-1423,Fosinopril,nan,Cardiovascular,Antihypertensive,1.038038345
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,CHEMBL1678,DONEPEZIL HYDROCHLORIDE,4,16C03,Prestw-1706,Donepezil hydrochloride,nan,Central Nervous System,Anti-Alzheimer 'Antipsychotic 'CNS Stimulant,1.0362361709999999
CN1CCN2c3ncccc3Cc3ccccc3C2C1,CHEMBL654,MIRTAZAPINE,4,07H07,Prestw-1144,Mirtazapine,nan,Central Nervous System,Antidepressant,1.032002369
C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,CHEMBL850,SPARFLOXACIN,4,15E07,Prestw-1343,Sparfloxacin,nan,Infectiology,Antibacterial,1.031502898
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,CHEMBL606,MISOPROSTOL,4,14F04,Prestw-1443,Misoprostol,nan,Metabolism,Antiulcer,1.029789784
C/C=C/c1ccc(OC)cc1,CHEMBL452630,ANETHOLE,0,15B05,Prestw-1223,Anethole-trithione,nan,Metabolism,Choleretic 'Antifungal,1.029001047
CC(C)C(=O)c1c(C(C)C)nn2ccccc12,CHEMBL19449,IBUDILAST,2,15F05,Prestw-1286,Ibudilast,nan,Metabolism,Anti-inflammatory,1.0195552829999999
COc1ccc2cc(CCC(C)=O)ccc2c1,CHEMBL1070,NABUMETONE,4,12C10,Prestw-909,Nabumetone,nan,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,1.014379913
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1.Cl,CHEMBL1200833,DIPIVEFRIN HYDROCHLORIDE,4,08H03,Prestw-632,Dipivefrin hydrochloride,nan,Ophthalmology,Antiglaucoma,1.009535452
Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,CHEMBL1407943,CLEMIZOLE,2,03G08,Prestw-227,Clemizole hydrochloride,nan,Allergology 'Dermatology 'Infectiology,Antibacterial 'Antifungal 'Antihistaminic 'Antipruritic,1.007300885
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,CHEMBL29,BENZYLPENICILLIN,4,13G09,Prestw-1028,Benzathine benzylpenicillin,nan,Metabolism,Antibacterial,1.00605363
C[C@]12CC(=O)[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,CHEMBL2104019,ALFADOLONE,0,13E02,Prestw-1001,Alfadolone acetate,nan,Central Nervous System,Anesthetic,1.002338406
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,CHEMBL1599248,CLEBOPRIDE MALEATE,0,05F11,Prestw-380,Clebopride maleate,nan,Central Nervous System,Antiemetic 'Antispastic,1.001853011
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,CHEMBL38,TRETINOIN,4,04B08,Prestw-257,Retinoic acid,nan,Dermatology,Keratolytic 'Antineoplastic,0.999049525
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,CHEMBL190044,TRIMEBUTINE,3,16A04,Prestw-1777,Trimebutine,nan,Neuromuscular,Antispastic,0.9988463590000001
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,CHEMBL101253,VATALANIB,3,06H02,Prestw-1358,Vatalanib,nan,Oncology,Antineoplastic,0.9983724829999999
CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CHEMBL1452696,FEPRAZONE,4,19C08,Prestw-2076,Feprazone,nan,Rheumatology,Anti-inflammatory,0.996159615
CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1.Cl,CHEMBL1511957,PIPERIDOLATE HYDROCHLORIDE,4,14B06,Prestw-1055,Piperidolate hydrochloride,nan,Neuromuscular,Antispastic,0.986806196
CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,ASPIRIN,4,15H10,Prestw-1207,Acetylsalicylic acid,nan,Central Nervous System,Analgesic 'Anti-inflammatory 'Antipyretic,0.9864185240000001
O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,CHEMBL338667,DIPERODON,0,04F11,Prestw-300,Diperodon hydrochloride,nan,Neuromuscular,Local anesthetic,0.986343172
CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,CHEMBL1565476,APAZONE,4,13E04,Prestw-1003,Azapropazone,nan,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.981707983
CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21.Cl,CHEMBL1719,OLOPATADINE HYDROCHLORIDE,4,15D08,Prestw-1307,Olopatadine hydrochloride,nan,Allergology,Antihistaminic,0.9803936590000001
CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,CHEMBL1377575,HOMOSALATE,0,14E11,Prestw-1090,Homosalate,nan,Dermatology,Radioprotectant,0.977235847
COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1,CHEMBL1898387,MEXENONE,4,17G09,Prestw-1911,Mexenone,nan,Dermatology,UV-protectant,0.976475111
CC(=O)Nc1ccc(CC(=O)O)cc1,CHEMBL1885632,ACTARIT,0,16C09,Prestw-1763,Actarit,nan,Immunology,Anti-inflammatory 'Immunomodulator,0.9754777259999999
Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl,CHEMBL1201023,ORPHENADRINE HYDROCHLORIDE,4,03H10,Prestw-239,Orphenadrine hydrochloride,nan,Allergology 'Central Nervous System,Antihistaminic 'Antiparkinsonian,0.973174779
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,CHEMBL1200732,AMCINONIDE,4,15B06,Prestw-1476,Amcinonide,nan,Metabolism,Anti-inflammatory,0.971509535
COc1nc(C)nc(Cl)c1NC1=NCCN1,CHEMBL19236,MOXONIDINE,4,13F07,Prestw-1016,Moxonidine,nan,Cardiovascular,Antihypertensive,0.9675464220000001
CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,CHEMBL289469,GRANISETRON,4,15D09,Prestw-1187,Granisetron,nan,Endocrinology,Antiemetic,0.966710066
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,CHEMBL295619,RUFLOXACIN,0,15H05,Prestw-1338,Rufloxacin,nan,Infectiology,Antibacterial,0.9665568920000001
Cl.O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,CHEMBL1720,PALONOSETRON HYDROCHLORIDE,4,16G09,Prestw-1783,Palonosetron hydrochloride,nan,Central Nervous System,Antiemetic,0.961397385
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,CHEMBL1621,PALIPERIDONE,4,12F06,Prestw-1827,Paliperidone,nan,Central Nervous System,Antipsychotic,0.9521547909999999
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,CHEMBL595,PIOGLITAZONE,4,02C08,Prestw-1314,Pioglitazone,nan,Endocrinology ,nan,0.9498831329999999
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1.Cl,CHEMBL1446650,MEBEVERINE HYDROCHLORIDE,4,04G11,Prestw-310,Mebeverine hydrochloride,nan,Neuromuscular,Antispastic,0.947623812
N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,CHEMBL284733,DICLAZURIL,0,15B11,Prestw-1394,Diclazuril,nan,Infectiology,Antiparasitic,0.9459293870000001
Cl.O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,CHEMBL1200798,TRAZODONE HYDROCHLORIDE,4,04F03,Prestw-292,Trazodone hydrochloride,nan,Central Nervous System,Antidepressant,0.943621811
